"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
15,60,0.09,0.5,134463.749715831,136626.53770101,66.6666666666667,43891.6690110156
40,50,0.06,0.25,134428.964725259,71829.3036313175,16.6666666666667,50331.6101986911
10,60,0.08,1,134419.241508534,106857.04076913,50,46244.1929608631
40,30,0.09,0.75,134237.044651613,116119.762709916,50,48767.215622344
15,60,0.09,0.25,134051.322064112,129216.570793668,50,37483.7329862612
15,60,0.1,0.5,134004.501649092,135806.575365703,66.6666666666667,43464.543418701
35,30,0.03,0.75,134003.035776612,110287.996043176,83.3333333333333,55218.3563197869
30,45,0.03,1,133787.031303094,112247.987306603,66.6666666666667,72979.6001875019
15,60,0.1,0.25,133721.258563779,128555.24857599,50,36908.8870708907
10,60,0.05,1,133663.786138958,106857.04076913,50,46506.2623001099
15,60,0.06,0.5,133663.065896103,134982.903162633,66.6666666666667,45595.4440946236
10,60,0.06,1,133662.351863532,106857.04076913,50,46500.1796473217
35,35,0.1,0.25,133601.979763253,69615.8281664181,33.3333333333333,27217.2349256027
25,30,0.07,0.75,133415.023571538,116781.827406201,50,67964.9696034694
20,60,0.04,0.5,133412.348206446,132756.673516622,50,51732.5712883276
25,50,0.01,1,133409.568398279,141585.811196172,83.3333333333333,50378.261370368
10,30,0.09,0.75,133157.180068099,119915.129873324,66.6666666666667,47654.1898566914
25,30,0.05,0.5,133104.3776622,133501.723377576,66.6666666666667,48642.2540493917
25,35,0.08,0.25,133068.896700122,96035.354970082,33.3333333333333,41624.9754607499
30,30,0.07,0.5,133049.438335371,112237.424198549,50,84525.9855983746
15,30,0.1,1,133016.349417683,109785.392508852,50,29513.3004244328
30,30,0.08,0.5,132967.129787569,137666.359038657,83.3333333333333,65894.5909709478
10,50,0.02,0.5,132862.193603344,72127.8212990952,33.3333333333333,39759.4607319248
25,30,0.1,0.75,132589.053577907,65977.5819155788,33.3333333333333,34788.6357192421
20,60,0.08,0.75,132422.535883019,111179.769023766,50,72537.5754111713
35,30,0.05,0.25,132280.575093458,103541.310925116,66.6666666666667,67023.1063152012
40,30,0.06,0.5,132265.076175319,125308.158816025,100,100438.573483803
35,50,0.01,0.75,132184.547118323,111057.103027427,50,64913.9953092589
40,50,0.03,0.75,132018.402668851,76386.9290045908,33.3333333333333,48736.3616378581
20,50,0.09,0.25,131826.841283858,79084.678910826,33.3333333333333,32720.2454454267
40,30,0.1,0.25,131706.205073412,88370.4579785204,50,37637.0421980143
25,30,0.08,0.5,131687.812434416,118774.095724435,83.3333333333333,65258.7333076954
15,60,0.08,0.75,131674.953295099,133429.694575494,66.6666666666667,61765.1751448646
10,60,0.08,0.25,131658.60411641,115719.535994091,50,33494.7144242126
35,35,0.1,0.5,131547.479108463,66908.362765488,33.3333333333333,30697.1959585691
20,30,0.1,1,131483.752043517,78734.8466194749,33.3333333333333,45200.6821862817
25,50,0.09,1,131364.820486024,85516.9378653109,33.3333333333333,55850.5379900026
35,35,0.09,0.25,131276.201171518,108164.411801571,66.6666666666667,44254.571436807
20,60,0.09,0.5,131247.725530253,126252.340631599,50,53974.6308880726
40,50,0.02,0.75,131226.138692263,79988.9160950654,33.3333333333333,37374.5284089552
40,30,0.03,1,130870.652125301,118883.006593624,66.6666666666667,70381.1533005315
15,60,0.09,0.75,130840.276040539,131390.442605058,66.6666666666667,61052.331935781
20,35,0.1,0.75,130632.362683084,120415.466274072,66.6666666666667,64658.644002446
10,60,0.07,0.25,130608.386605766,112434.719157818,50,33493.5747300845
20,60,0.05,0.5,130599.151369246,131868.536458852,50,50524.702312856
15,60,0.1,0.75,130463.291659282,130703.765364151,66.6666666666667,60373.3074401805
20,60,0.1,0.5,130356.678421964,125755.15093188,50,52455.191090025
35,40,0.06,0.75,130286.96724673,135687.542278407,83.3333333333333,82840.2933679193
10,50,0.04,0.75,130239.818817561,90066.7719702972,33.3333333333333,35661.5446506977
10,60,0.07,0.5,130208.980961522,134241.310918264,66.6666666666667,36231.1973137
