"Period","Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",35,60,0.02,0.25,97945.2783350599
"2000 - 2005 (Dot-Com Bust)",40,60,0.02,0.25,110017.330302329
"2000 - 2005 (Dot-Com Bust)",10,65,0.02,0.25,78314.1062328529
"2000 - 2005 (Dot-Com Bust)",15,65,0.02,0.25,44700.1354343188
"2000 - 2005 (Dot-Com Bust)",20,65,0.02,0.25,51503.0626464987
"2000 - 2005 (Dot-Com Bust)",25,65,0.02,0.25,91929.9845545685
"2000 - 2005 (Dot-Com Bust)",30,65,0.02,0.25,96560.7572888661
"2000 - 2005 (Dot-Com Bust)",35,65,0.02,0.25,103002.037590386
"2000 - 2005 (Dot-Com Bust)",40,65,0.02,0.25,109952.757551547
"2000 - 2005 (Dot-Com Bust)",10,70,0.02,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",15,70,0.02,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",20,70,0.02,0.25,85870.240936749
"2000 - 2005 (Dot-Com Bust)",25,70,0.02,0.25,99939.6547560954
"2000 - 2005 (Dot-Com Bust)",30,70,0.02,0.25,110026.20083452
"2000 - 2005 (Dot-Com Bust)",35,70,0.02,0.25,104412.085128116
"2000 - 2005 (Dot-Com Bust)",40,70,0.02,0.25,110908.918249417
"2000 - 2005 (Dot-Com Bust)",10,30,0.03,0.25,98424.1150470197
"2000 - 2005 (Dot-Com Bust)",15,30,0.03,0.25,106538.094079021
"2000 - 2005 (Dot-Com Bust)",20,30,0.03,0.25,138571.478285609
"2000 - 2005 (Dot-Com Bust)",25,30,0.03,0.25,111075.081318262
"2000 - 2005 (Dot-Com Bust)",30,30,0.03,0.25,89612.760413078
"2000 - 2005 (Dot-Com Bust)",35,30,0.03,0.25,107350.363674736
"2000 - 2005 (Dot-Com Bust)",40,30,0.03,0.25,86550.6975795096
"2000 - 2005 (Dot-Com Bust)",10,35,0.03,0.25,83379.3205729546
"2000 - 2005 (Dot-Com Bust)",15,35,0.03,0.25,33729.4855466869
"2000 - 2005 (Dot-Com Bust)",20,35,0.03,0.25,31646.2946801801
"2000 - 2005 (Dot-Com Bust)",25,35,0.03,0.25,57680.6679751821
"2000 - 2005 (Dot-Com Bust)",30,35,0.03,0.25,102214.884040188
"2000 - 2005 (Dot-Com Bust)",35,35,0.03,0.25,76547.9209240979
"2000 - 2005 (Dot-Com Bust)",40,35,0.03,0.25,77541.2777529822
"2000 - 2005 (Dot-Com Bust)",10,40,0.03,0.25,72537.9220275034
"2000 - 2005 (Dot-Com Bust)",15,40,0.03,0.25,99435.9592857601
"2000 - 2005 (Dot-Com Bust)",20,40,0.03,0.25,120745.505251503
"2000 - 2005 (Dot-Com Bust)",25,40,0.03,0.25,213401.805276717
"2000 - 2005 (Dot-Com Bust)",30,40,0.03,0.25,51476.736575217
"2000 - 2005 (Dot-Com Bust)",35,40,0.03,0.25,22786.9436376547
"2000 - 2005 (Dot-Com Bust)",40,40,0.03,0.25,72656.1599491294
"2000 - 2005 (Dot-Com Bust)",10,45,0.03,0.25,149397.70780719
"2000 - 2005 (Dot-Com Bust)",15,45,0.03,0.25,151996.917403412
"2000 - 2005 (Dot-Com Bust)",20,45,0.03,0.25,90060.9541432971
"2000 - 2005 (Dot-Com Bust)",25,45,0.03,0.25,128103.151779284
"2000 - 2005 (Dot-Com Bust)",30,45,0.03,0.25,103768.602227931
"2000 - 2005 (Dot-Com Bust)",35,45,0.03,0.25,66891.3427898914
"2000 - 2005 (Dot-Com Bust)",40,45,0.03,0.25,71555.5541653122
"2000 - 2005 (Dot-Com Bust)",10,50,0.03,0.25,403978.652129566
"2000 - 2005 (Dot-Com Bust)",15,50,0.03,0.25,396756.232429377
"2000 - 2005 (Dot-Com Bust)",20,50,0.03,0.25,424695.825028719
"2000 - 2005 (Dot-Com Bust)",25,50,0.03,0.25,404898.062650311
"2000 - 2005 (Dot-Com Bust)",30,50,0.03,0.25,167128.007753227
"2000 - 2005 (Dot-Com Bust)",35,50,0.03,0.25,252093.480318593
"2000 - 2005 (Dot-Com Bust)",40,50,0.03,0.25,272608.718125229
"2000 - 2005 (Dot-Com Bust)",10,55,0.03,0.25,62938.3121427309
"2000 - 2005 (Dot-Com Bust)",15,55,0.03,0.25,29103.8126505661
"2000 - 2005 (Dot-Com Bust)",20,55,0.03,0.25,36071.5489996204
"2000 - 2005 (Dot-Com Bust)",25,55,0.03,0.25,58270.6788935652
"2000 - 2005 (Dot-Com Bust)",30,55,0.03,0.25,43608.666090542
"2000 - 2005 (Dot-Com Bust)",35,55,0.03,0.25,53303.6506439904
"2000 - 2005 (Dot-Com Bust)",40,55,0.03,0.25,61987.4908628672
"2000 - 2005 (Dot-Com Bust)",10,60,0.03,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",15,60,0.03,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",20,60,0.03,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",25,60,0.03,0.25,177066.258077854
"2000 - 2005 (Dot-Com Bust)",30,60,0.03,0.25,96040.5873735416
"2000 - 2005 (Dot-Com Bust)",35,60,0.03,0.25,85657.4574574399
"2000 - 2005 (Dot-Com Bust)",40,60,0.03,0.25,109355.838003936
"2000 - 2005 (Dot-Com Bust)",10,65,0.03,0.25,78314.1062328529
"2000 - 2005 (Dot-Com Bust)",15,65,0.03,0.25,44700.1354343188
"2000 - 2005 (Dot-Com Bust)",20,65,0.03,0.25,51503.0626464987
"2000 - 2005 (Dot-Com Bust)",25,65,0.03,0.25,90990.2147262728
"2000 - 2005 (Dot-Com Bust)",30,65,0.03,0.25,96340.5623401153
"2000 - 2005 (Dot-Com Bust)",35,65,0.03,0.25,102586.62001892
"2000 - 2005 (Dot-Com Bust)",40,65,0.03,0.25,108827.464387302
"2000 - 2005 (Dot-Com Bust)",10,70,0.03,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",15,70,0.03,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",20,70,0.03,0.25,85870.240936749
